Таблица,Комментарий,Удалить,Ежегодная процедура загрузки,Источник данных,Добавить в кабинет администратора
adapt_okso_okz_okved,Убрать,Да,,,
adapt_okved_ws,Убрать,Да,,,
adapt_okz_okved,Убрать,Да,,,
adapt_vacs_okz,Убрать,Да,,,
adapter_class_o,Основной преходник,,,,
adapter_class_o_bkp,Убрать,Да,,,
btr_line,Строки БТР,,,,
city,Город. Есть в mrigo (?),,,,
deflators,Значаения дефляторов,,Да,,
drp$vw_organization_form_invest_req_lines,Убрать,Да,,,
drp$vw_organization_form_req_lines,Убрать,Да,,,
educ_contingent_data,Убрать,Да,,,
educ_program_type,Справочник типов проф. подготовки,,,,Да
experts_vals,Убрать из проекта целиком,Да,,,
experts_vals_okved,Убрать из проекта целиком,Да,,,
fc_res1,Убрать,Да,,,
fc_res2,Убрать,Да,,,
fc_res3,Убрать,Да,,,
fc_res4,Убрать,Да,,,
fc_res5,Убрать,Да,,,
fc_res6,Убрать,Да,,,
fc_res7,Убрать,Да,,,
fc_scenario,Убрать,Да,,,
fc_tab1,Убрать,Да,,,
fc_tab2,Убрать,Да,,,
fc_tab3,Убрать,Да,,,
fc_vacs_okved_mrigo,Убрать,Да,,,
fixe_investment,Данные статистики экономики региона (?),,,,
forecast_empl_age,Прогноз по численности населения по сдвижке (?),,,,
forecast_empl_stat_src,(?),,,,
graduate,Данные выпускников,,,,
graduate_poll,Статус предоставления данных о выпускниках,,,,
gradute_spo_comp,Данные о компетенциях выпускников (СПО),,,,
influence_factors,Факторы влияния (?),,,,
invest_proj,Инвестиционные проекты,,,,
invest_proj_line,Строка инвестиционного проекта,,,,
invest_proj_line_type,Тип строки инвестиционного проекта,,,,
invest_proj_okved,Связь с ОКВЭД инвестиционных проектов,,,,
kcp*,Распеределение КЦП между организациями СПО,,,,
koeff_stud_work,Данные о занятости студентов,,Да,?,
ld_btr_loaded,Загруженные старые данные БТР,,,,
ld_educ_contingent_data,Загруженные данные студентов,,,,
ld*,"Старая загрузка данных. Нужна ли еще (?) Перенести в loaded"
load$org_inv_req,Убрать,Да,,,
load_graduate,Убрать,Да,,,
load_mrigo,Убрать,Да,,,
load_package,Таблица загрузки данных из Excel,,,,Да
migr_grow,Миграционный прирост,,,?,
month,Месяц,,,,
mp_age_bounds,"Границы трудоспособного возраста, с учетом повышения пенсионного возраста",,,,
mrigo,МРиГО,,,,
okfs,ОКФС,,,,
okopf,Слить с ОКОПФ из blinov,,,,
okpdtr,ОКПДТР,,,,
okso,ОКСО,,,,
okso_ugsn,Переходник ОКСО-УГСН,,,,
okved,ОКВЭД,,,,
okved_partitions,Разделы ОКВЭД,,,,
