Таблица,Комментарий,Удалить,Ежегодная процедура загрузки,Источник данных,Добавить в кабинет администратора
all_vacs_full,(?),,,,
alpha_param,(?),,,,
delta_migr,Изменение миграции. Перенести в data,,Да,?,
forecast_params,Параметры прогнозирования. Сравнить с данными из data,,Да,?,
k_unemployment,Убрать,Да,,,
kcp_req,(?),,,,
kz,(?),,,,
scenario,(?),,,,
theta,(?),,,,
tmp_total_prognoz_okpdtr,Данные прогноза кадровой потребности,,,,
type_scenario,Тип сценария СЭР,,,,
ugsn_req_detail,Распределение кадровой потребности по УГСН,,,,
work_prof_req_detail,Распределение кадровой потребности по программам подготовки рабочих,,,,
workers,(?),,,,
workers_count,(?),,,,
x,Данные из stat_data*,,,,
